id,category,version_string,apk_url,title,version_code,app_id,developer_name,packages
2,TOOLS,"6.1.83 (1522025-036)",https://archive.org/download/playdrone-apk-9c/com.google.android.gms-6183036.apk,"Google Play services",6183036,com.google.android.gms,"Google Inc.",""
3,SOCIAL,"20.0.0.25.15",https://archive.org/download/playdrone-apk-a1/com.facebook.katana-4947895.apk,"Facebook",4947895,com.facebook.katana,"Facebook","com.facebook.debug.logcat.raw,com.facebook.acra,com.facebook.base.app,com.facebook.nodex.startup.splashscreen,org.tukaani.xz.lzma,com.facebook.common.dextricks,com.facebook.common.gcinitopt,com.facebook.dalvik,com.facebook.common.errorreporting.crashcounter,com.facebook.acra.util,com.facebook.nobreak,com.facebook.systrace,com.facebook.common.init,com.facebook.nodex.startup.warmup,com.facebook.nodex.startup.crashloop,com.facebook.dalviktelemetry,com.facebook.androidinternals.android.os,com.facebook.soloader,com.facebook.xzdecoder"
